symbol,year_label,document_url
ABB,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/270738a5-1a37-4f0f-9de6-e16dc27ff432.pdf
ABB,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//68827cf7-67af-4209-91f5-3854d3e1e8a2.pdf
ABB,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/500488/73779500488.pdf
ABB,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/500488/68744500488.pdf
ABB,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880320.pdf
ABB,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880319.pdf
ABB,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880318.pdf
ABB,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880317.pdf
ABB,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880316.pdf
ABB,Mar 2015,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880315.pdf
ABB,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880314.pdf
ABB,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/500488/5004881212.pdf
ABB,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/500488/5004881211.pdf
ABB,Mar 2011,https://www.bseindia.com/bseplus/AnnualReport/500488/5004881210.pdf
ABB,Mar 2010,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2009/ABBOTT_INDIA_LTD-500488-MARCH-2009.PDF
ABB,Mar 2009,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2009/ABBOTT_INDIA_LTD-500488-MARCH-2009.PDF
ADANIENSOL,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/db15693a-a436-4d72-8bd4-20384a5901ec.pdf
ADANIENSOL,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//358ddfd2-4e21-40f8-aa09-f1e801e5bd48.pdf
ADANIENSOL,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/539254/73480539254.pdf
